"VT992L
",OPEL,Vivaro-b,Diesel,2016,"€ 8.024,-",Niet geregistreerd,1640 kg,1598 cm³,85 kW (116 pk),170 g/km
"05ZLL9
",CITROEN,C1,Benzine,2012,Hatchback,805 kg,998 cm³,50 kW (68 pk),99 g/km
"KT532K
",VOLVO,V60 twin engine,Diesel,2016,"€ 463,-",Stationwagen,1880 kg,2400 cm³,158 kW (215 pk),onbekend
"NK312T
",CITROEN,C4 cactus,Benzine,2016,"€ 2.203,-",Hatchback,940 kg,1199 cm³,60 kW (82 pk),107 g/km
"JF633P
",TOYOTA,Yaris,Benzine,2016,"€ 1.753,-",Mpv,955 kg,998 cm³,51 kW (69 pk),95 g/km
"TJ416X
",RENAULT,Kadjar,Benzine,2018,"€ 3.804,-",Stationwagen,1295 kg,1197 cm³,96 kW (130 pk),132 g/km
"45TJKF
",MITSUBISHI,Colt 13 mivec,Benzine,2006,"€ 3.045,-",Stationwagen,945 kg,1332 cm³,70 kW (95 pk),143 g/km
"ZFTF03
",OPEL,Astra-g-caravan x16szr,Benzine,1999,"€ 3.887,-",Stationwagen,1090 kg,1598 cm³,55 kW (75 pk),180 g/km
"GHGH47
",VOLVO,240 polar u9,Benzine,1993,"€ 5.306,-",Stationwagen,1354 kg,2316 cm³,83 kW (113 pk),onbekend
"SX332S
",KIA,Picanto,Benzine,2018,"€ 1.573,-",Mpv,830 kg,998 cm³,49 kW (67 pk),90 g/km
"9VSP01
",OPEL,Combo,Diesel,2011,"€ 4.733,-",Niet geregistreerd,1220 kg,1248 cm³,55 kW (75 pk),134 g/km
"KS614D
",VOLVO,V40,Benzine,2016,"€ 4.868,-",Mpv,1335 kg,1498 cm³,90 kW (122 pk),125 g/km
"XG821L
",MERCEDES-BENZ,Gla 200,Benzine,2015,"€ 5.069,-",Stationwagen,1335 kg,1595 cm³,115 kW (156 pk),133 g/km
"82VPTK
",VOLKSWAGEN,Bestel 10 TDI 75KW,Diesel,1996,Niet geregistreerd,1750 kg,onbekend,75 kW (102 pk)
"16XLZ7
",KIA,Rio,Benzine,2012,Mpv,999 kg,1248 cm³,63 kW (86 pk),109 g/km
"V170DL
",FIAT,Talento,Diesel,2017,"€ 9.556,-",Niet geregistreerd,1700 kg,1598 cm³,89 kW (121 pk),170 g/km
"V453XL
",TOYOTA,Hilux,Diesel,2019,"€ 11.013,-",Pick-up truck,2025 kg,2393 cm³,110 kW (149 pk),185 g/km
"99RDFZ
",CITROEN,Berlingo 16i 16v,Benzine,2005,"€ 4.583,-",Stationwagen,1226 kg,1587 cm³,80 kW (109 pk),175 g/km
"V326TN
",FIAT,Talento,Diesel,2018,"€ 10.631,-",Niet geregistreerd,1772 kg,1598 cm³,92 kW (125 pk),159 g/km
"28JGT2
",PEUGEOT,207,Benzine,2009,"€ 7.177,-",Cabriolet,1393 kg,1598 cm³,110 kW (149 pk),171 g/km
"PV094G
",OPEL,Mokka x,Benzine,2017,"€ 8.311,-",Mpv,1309 kg,1364 cm³,103 kW (140 pk),144 g/km
"86LRPB
",SEAT,Ibiza 14 16v 74KW bbz,Benzine,2003,"€ 3.354,-",Hatchback,1024 kg,1390 cm³,74 kW (101 pk),161 g/km
"5XHS42
",MITSUBISHI,Asx,Benzine,2014,"€ 4.914,-",Stationwagen,1235 kg,1590 cm³,86 kW (117 pk),133 g/km
"09KSL5
",OPEL,Meriva-a,Benzine,2010,"€ 4.355,-",Mpv,1275 kg,1598 cm³,77 kW (105 pk),159 g/km
"89RTT7
",TOYOTA,Aygo,Benzine,2011,Hatchback,805 kg,998 cm³,50 kW (68 pk),103 g/km
